Name,Mean,5th Percentile,95th Percentile,Position
Reggie Virgil,4.001503130302559,2.560661476333581,5.567352905208579,WR
Kaden Wetjen,3.962285957475296,2.275107534965416,5.753044207702602,WR
Jam Miller,3.6820693,2.6998775243759154,4.801907038688659,RB
Emmett Johnson,3.5850966,2.5505839824676517,4.85731563568115,RB
Bryce Lance,3.583136073413047,2.031826174868256,5.098834221309618,WR
Nicholas Singleton,3.5603974,2.516538166999817,5.032146501541136,RB
C.J. Daniels,3.249555969402958,1.0984432476884305,5.414203888453807,WR
Adam Randall,3.0778406,2.2779507398605348,4.168688869476318,RB
Lewis Bond,2.9283366833377458,1.590342845703576,4.443337236043924,WR
Barion Brown,2.723844452255745,1.1762865778507212,4.305982969508176,WR
Seth McGowan,2.716311,2.011893999576569,3.539533233642578,RB
C.J. Williams,2.6765915005169383,-3.935364009038085,7.697866839439464,WR
Kendrick Law,2.644260238832741,1.1653103897442645,4.140703513337673,WR
Malik Benson,2.548739575449947,0.6937024101532066,4.506074052563732,WR
Colbie Young,2.486312673443964,1.3034177853673852,3.7087958547236655,WR
Deion Burks,2.35572579394266,0.6377026202753782,3.9818394006232936,WR
Josh Cameron,2.3226376950434804,-4.525625725836827,7.240551771085408,WR
Eli Heidenreich,2.052566635928303,0.4774113614604473,3.5906439431563197,WR
Emmanuel Henderson,1.5457826838364348,-0.5815211170934855,3.823637429468573,WR
Anthony Smith,1.4880736651370234,0.4270974391721459,2.530492127619213,WR
